ESV,bac1,bac10,bac2,bac3,bac7,bac8,bac9
ESV116.1467,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1160.1450,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV1161.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1162.1440,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1163.1448,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1164.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1165.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1166.1469,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1167.1408,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1168.1460,Perfect,Poor,Perfect,Poor,Poor,Perfect,Perfect
ESV1169.1435,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV117.1435,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1170.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1171.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1172.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1173.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1174.1474,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1175.1444,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1176.1448,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1177.1444,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1178.1451,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV1179.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV118.1407,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1180.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1181.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1182.1421,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1183.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1184.1419,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV1185.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1186.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1187.1482,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV1188.1444,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1189.1425,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV119.1406,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1190.1432,Perfect,Poor,Perfect,Partial,Partial,Perfect,Perfect
ESV1191.1435,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1192.1479,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1193.1464,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1194.1429,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1195.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1196.1427,Partial,Poor,Partial,Poor,Partial,Partial,Perfect
ESV1197.1460,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1198.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1199.1453,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV12.1439,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV120.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1200.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1201.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1202.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1203.1441,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1204.1443,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1205.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1206.1412,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1207.1419,Partial,Poor,Partial,Partial,Partial,Partial,Perfect
ESV1208.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1209.1451,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV121.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1210.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1211.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1212.1423,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1213.1459,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1214.1434,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1215.1454,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1216.1478,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1217.1407,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1218.1468,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1219.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV122.1443,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1220.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1221.1437,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV1222.1427,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1223.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1224.1422,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1225.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1226.1434,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1227.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1228.1447,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1229.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV123.1396,Perfect,Perfect,Perfect,Partial,Perfect,Perfect,Perfect
ESV1230.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1231.1432,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1232.1398,Partial,Poor,Partial,Poor,Poor,Poor,Partial
ESV1233.1445,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1234.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1235.1462,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1236.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1237.1458,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1238.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1239.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV124.1461,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1240.1444,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1241.1487,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1242.1474,Poor,Poor,Poor,Poor,Poor,Perfect,Poor
ESV1243.1457,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1244.1399,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1245.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1246.1472,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1247.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1248.1444,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1249.1425,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV125.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1250.1443,Partial,Partial,Partial,Perfect,Perfect,Perfect,Partial
ESV1251.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1252.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1253.1442,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1254.1447,Perfect,Poor,Perfect,Poor,Perfect,Perfect,Perfect
ESV1255.1467,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1256.1444,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1257.1404,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1258.1427,Perfect,Poor,Perfect,Partial,Perfect,Partial,Partial
ESV1259.1436,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV126.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1260.1413,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1261.1436,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1262.1481,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1263.1425,Perfect,Poor,Perfect,Partial,Perfect,Perfect,Perfect
ESV1264.1470,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1265.1463,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1266.1490,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1267.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1268.1443,Partial,Poor,Partial,Perfect,Perfect,Perfect,Partial
ESV1269.1446,Partial,Partial,Partial,Perfect,Perfect,Perfect,Partial
ESV127.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1270.1406,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1271.1453,Perfect,Partial,Perfect,Partial,Perfect,Perfect,Perfect
ESV1272.1463,Poor,Poor,Poor,Poor,Poor,Poor,Poor
ESV1273.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1274.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1275.1458,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1276.1446,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1277.1428,Perfect,Poor,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1278.1411,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1279.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV128.1445,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1280.1443,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1281.1442,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1282.1475,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1283.1436,Poor,Partial,Poor,Perfect,Partial,Perfect,Partial
ESV1284.1474,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1285.1446,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1286.1426,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1287.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1288.1438,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV1289.1456,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect,Perfect
ESV129.1472,Perfect,Partial,Perfect,Perfect,Perfect,Perfect,Perfect
