ESV,Kingdom,Phylum,Class,Order,Family,Genus,Species
ESV30.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV31.1442,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_31,midas_s_31
ESV32.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_32
ESV33.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_33
ESV34.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV35.1446,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,DMER64,midas_s_35
ESV36.1436,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,midas_s_36
ESV37.1440,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_37
ESV38.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_38
ESV39.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_5
ESV40.1439,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_40
ESV41.1482,Bacteria,Desulfobacterota,Syntrophorhabdia,Syntrophorhabdales,Syntrophorhabdaceae,Syntrophorhabdus,midas_s_41
ESV42.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Ca_Microthrix,midas_s_3
ESV43.1442,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_43,midas_s_43
ESV44.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV45.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_45
ESV46.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_33
ESV47.1454,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_13,midas_s_13
ESV48.1461,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_48
ESV49.1439,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propionicimonas,midas_s_49
ESV50.1455,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_33,midas_s_50
ESV51.1385,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Paracoccus,Paracoccus_communis
ESV52.1467,Bacteria,Actinobacteriota,Thermoleophilia,Solirubrobacterales,67-14,midas_g_52,midas_s_52
ESV53.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,midas_s_53
ESV54.1442,Bacteria,Firmicutes,Clostridia,Christensenellales,Christensenellaceae,Christensenellaceae_R-7_group,midas_s_54
ESV55.1452,Bacteria,Acidobacteriota,Aminicenantia,Aminicenantales,midas_f_55,midas_g_55,midas_s_55
ESV56.1459,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_56,midas_s_56
ESV57.1412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_57,midas_s_57
ESV58.1446,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,Rikenellaceae_RC9_gut_group,midas_s_58
ESV59.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,midas_g_59,midas_s_59
ESV60.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_60
ESV61.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV62.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_5
ESV63.1402,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Rhodobacter,midas_s_63
ESV64.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV65.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_65,midas_s_65
ESV66.1450,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_65,midas_s_65
ESV67.1393,Bacteria,Patescibacteria,Saccharimonadia,Saccharimonadales,midas_f_67,midas_g_67,midas_s_67
ESV68.1449,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_20,midas_s_68
ESV69.1436,Archaea,Halobacterota,Methanosarcinia,Methanosarciniales,Methanosaetaceae,Methanosaeta,Methanothrix_soehngenii
ESV70.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_70,midas_s_70
ESV71.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_17
ESV72.1400,Bacteria,Chloroflexi,Anaerolineae,RBG-13-54-9,midas_f_72,midas_g_72,midas_s_72
ESV73.1442,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_31,midas_s_31
ESV74.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_26,midas_s_74
ESV75.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_75,midas_s_75
ESV76.1455,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_13,midas_s_76
ESV77.1496,Bacteria,Caldatribacteriota,Caldatribacteriia,Caldatribacteriales,Caldatribacteriaceae,Ca_Caldatribacterium,midas_s_77
ESV78.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Terrisporobacter,Terrisporobacter_mayombei
ESV79.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,Ca_Microthrix,midas_s_2
ESV80.1464,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_80,midas_g_80,midas_s_80
ESV81.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,midas_s_81
ESV82.1446,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Rikenellaceae,DMER64,midas_s_82
ESV83.1451,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_83
ESV84.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Thauera,Thauera_aminoaromatica
ESV85.1426,Bacteria,Bacteroidota,Bacteroidia,Cytophagales,Spirosomaceae,Lacihabitans,midas_s_85
ESV86.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV87.1524,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,Ca_Cloacimonas,midas_s_87
ESV88.1450,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_88,midas_s_88
ESV89.1442,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_89
ESV90.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_90
ESV91.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_17
ESV92.1472,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,W5,midas_s_92
ESV93.1422,Bacteria,Bacteroidota,Kapabacteria,Kapabacteriales,midas_f_93,midas_g_93,midas_s_93
ESV94.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ferribacterium,Ferribacterium_limneticum
ESV95.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_5
ESV96.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_96
ESV97.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_33
ESV98.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Steroidobacterales,Steroidobacteraceae,midas_g_98,midas_s_98
ESV99.1454,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,midas_g_99,midas_s_99
ESV100.1441,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_100,midas_s_100
ESV101.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_101
ESV102.1409,Bacteria,Proteobacteria,Alphaproteobacteria,Sphingomonadales,Sphingomonadaceae,Sphingorhabdus,midas_s_102
ESV103.1441,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_103
ESV104.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV105.1425,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_105,midas_s_105
ESV106.1441,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Dietziaceae,Dietzia,midas_s_106
ESV107.1411,Bacteria,Proteobacteria,Alphaproteobacteria,Defluviicoccales,Defluviicoccaceae,Defluviicoccus,midas_s_107
ESV108.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,midas_f_108,midas_g_108,midas_s_108
ESV109.1440,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_109
ESV110.1462,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,Lentimicrobiaceae,Lentimicrobium,midas_s_110
ESV111.1442,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_111,midas_s_111
ESV112.1461,Bacteria,Firmicutes,Limnochordia,MBA03,midas_f_112,midas_g_112,midas_s_112
ESV113.1453,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,midas_s_113
ESV114.1455,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,W5053,midas_g_114,midas_s_114
ESV115.1442,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Propioniciclava,midas_s_115
ESV116.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Ahniella,midas_s_116
ESV117.1435,Bacteria,Firmicutes,Clostridia,Oscillospirales,Ruminococcaceae,Ruminococcus,midas_s_117
ESV118.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,C2U,midas_g_118,midas_s_118
ESV119.1406,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_119,midas_g_119,midas_s_119
ESV120.1445,Bacteria,Actinobacteriota,Acidimicrobiia,Microtrichales,Microtrichaceae,midas_g_120,midas_s_120
ESV121.1406,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Hyphomicrobiaceae,Hyphomicrobium,midas_s_121
ESV122.1443,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Uliginosibacterium,midas_s_53
ESV123.1396,Bacteria,Planctomycetota,Phycisphaerae,Phycisphaerales,Phycisphaeraceae,SM1A02,midas_s_123
ESV124.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,midas_s_124
ESV125.1438,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Clostridium_sensu_stricto_1,midas_s_64
ESV126.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_26,midas_s_74
ESV127.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_127
ESV128.1445,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Microbacteriaceae,Leucobacter,midas_s_128
ESV129.1472,Bacteria,Cloacimonadota,Cloacimonadia,Cloacimonadales,Cloacimonadaceae,W5,midas_s_92
ESV130.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Leptothrix,midas_s_130
ESV131.1500,Bacteria,Verrucomicrobiota,Verrucomicrobiae,LD1-PB3,midas_f_131,midas_g_131,midas_s_131
ESV132.1438,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_132,midas_s_132
ESV133.1454,Bacteria,Synergistota,Synergistia,Synergistales,Synergistaceae,Acetomicrobium,midas_s_113
ESV134.1492,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,midas_f_134,midas_g_134,midas_s_134
ESV135.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,midas_s_135
ESV136.1485,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Smithellaceae,Smithella,midas_s_136
ESV137.1441,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_31,midas_s_137
ESV138.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_96
ESV139.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Nitrosomonadaceae,Nitrosomonas,midas_s_139
ESV140.1426,Bacteria,Firmicutes,Clostridia,Clostridiales,Clostridiaceae,Proteiniclasticum,midas_s_140
ESV141.1451,Bacteria,Bacteroidota,Bacteroidia,Bacteroidales,Williamwhitmaniaceae,midas_g_141,midas_s_141
ESV142.1441,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_142,midas_s_142
ESV143.1439,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Nocardioidaceae,Marmoricola,midas_s_143
ESV144.1444,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,Stenotrophobacter,midas_s_144
ESV145.1514,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_145,midas_s_145
ESV146.1471,Bacteria,Firmicutes,Bacilli,Lactobacillales,Streptococcaceae,Streptococcus,midas_s_146
ESV147.1466,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,midas_s_147
ESV148.1452,Bacteria,Firmicutes,midas_c_4,DTU014,midas_f_148,midas_g_148,midas_s_148
ESV149.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_26,midas_s_74
ESV150.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_150
ESV151.1441,Bacteria,Actinobacteriota,Actinobacteria,midas_o_5,midas_f_5,midas_g_100,midas_s_151
ESV152.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Intestinibacter,Intestinibacter_bartlettii
ESV153.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,midas_g_153,midas_s_153
ESV154.1451,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_83
ESV155.1389,Bacteria,Proteobacteria,Alphaproteobacteria,Rhodobacterales,Rhodobacteraceae,Defluviimonas,midas_s_155
ESV156.1425,Bacteria,Chloroflexi,Anaerolineae,Anaerolineales,Anaerolineaceae,midas_g_156,midas_s_156
ESV157.1453,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Terrimonas,midas_s_157
ESV158.1455,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,W5053,midas_g_114,midas_s_114
ESV159.1456,Bacteria,Firmicutes,Clostridia,Hungateiclostridiaceae,Fastidiosipila,midas_g_8,midas_s_8
ESV160.1445,Bacteria,Actinobacteriota,Actinobacteria,Corynebacteriales,Nocardiaceae,Gordonia,Gordonia_defluvii
ESV161.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,midas_s_38
ESV162.1455,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,W5053,midas_g_114,midas_s_114
ESV163.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Beijerinckiaceae,Methylorosula,midas_s_163
ESV164.1441,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,midas_g_164,midas_s_164
ESV165.1412,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_57,midas_s_165
ESV166.1450,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_88,midas_s_88
ESV167.1447,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_17,midas_s_60
ESV168.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Ca_Accumulibacter,midas_s_168
ESV169.1424,Bacteria,Chloroflexi,Anaerolineae,Caldilineales,Caldilineaceae,midas_g_169,midas_s_169
ESV170.1443,Bacteria,Acidobacteriota,Blastocatellia,Blastocatellales,Blastocatellaceae,JGI_0001001-H03,midas_s_170
ESV171.1438,Bacteria,Bacteroidota,SJA-28,midas_o_31,midas_f_31,midas_g_171,midas_s_171
ESV172.1476,Bacteria,Myxococcota,Polyangia,Haliangiales,Haliangiaceae,Haliangium,midas_s_172
ESV173.1460,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,Dechloromonas,midas_s_173
ESV174.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Rhodocyclaceae,midas_g_26,midas_s_74
ESV175.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Legionellales,Legionellaceae,Legionella,midas_s_175
ESV176.1427,Bacteria,Chloroflexi,Anaerolineae,Ardenticatenales,midas_f_176,midas_g_176,midas_s_176
ESV177.1454,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_65,midas_s_177
ESV178.1445,Bacteria,Bacteroidota,Bacteroidia,Sphingobacteriales,ST-12K33,midas_g_22,midas_s_22
ESV179.1455,Bacteria,Bacteroidota,Ignavibacteria,Ignavibacteriales,PHOS-HE36,midas_g_179,midas_s_179
ESV180.1457,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Rhodoferax,Rhodoferax_antarcticus
ESV181.1462,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Ca_Nitrotoga,midas_s_181
ESV182.1425,Bacteria,Firmicutes,Clostridia,Peptostreptococcales-Tissierellales,Peptostreptococcaceae,Romboutsia,midas_s_34
ESV183.1461,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Rhodanobacteraceae,Dokdonella,midas_s_124
ESV184.1434,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_184,midas_g_184,midas_s_184
ESV185.1461,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_48
ESV186.1458,Bacteria,Proteobacteria,Gammaproteobacteria,HOC36,midas_f_127,midas_g_186,midas_s_186
ESV187.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Xanthobacteraceae,Rhodoplanes,midas_s_187
ESV188.1443,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_23,midas_s_188
ESV189.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_70,midas_s_70
ESV190.1518,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,B1-7BS,midas_g_190,midas_s_190
ESV191.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,Hydrogenophaga,midas_s_191
ESV192.1408,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,midas_f_57,midas_g_75,midas_s_192
ESV193.1440,Bacteria,Actinobacteriota,Actinobacteria,Propionibacteriales,Propionibacteriaceae,Brooklawnia,midas_s_193
ESV194.1434,Bacteria,Chloroflexi,Anaerolineae,SBR1031,midas_f_184,midas_g_184,midas_s_184
ESV195.1442,Bacteria,Actinobacteriota,Actinobacteria,Micrococcales,Intrasporangiaceae,Tetrasphaera,midas_s_45
ESV196.1487,Bacteria,Desulfobacterota,Syntrophia,Syntrophales,Syntrophaceae,Syntrophus,midas_s_196
ESV197.1460,Bacteria,Proteobacteria,Gammaproteobacteria,midas_o_26,midas_f_98,Acidibacter,midas_s_197
ESV198.1446,Bacteria,Proteobacteria,Gammaproteobacteria,Competibacterales,Competibacteraceae,Ca_Competibacter,midas_s_198
ESV199.1453,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Burkholderiaceae,Lautropia,midas_s_135
ESV200.1481,Bacteria,Firmicutes,Bacilli,Lactobacillales,Carnobacteriaceae,Trichococcus,midas_s_4
ESV201.1462,Bacteria,Acidobacteriota,Holophagae,Holophagales,Holophagaceae,Geothrix,midas_s_201
ESV202.1451,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Comamonadaceae,midas_g_81,midas_s_202
ESV203.1467,Bacteria,Proteobacteria,Gammaproteobacteria,Xanthomonadales,Xanthomonadaceae,Thermomonas,midas_s_203
ESV204.1464,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Gallionellaceae,Ca_Nitrotoga,midas_s_204
ESV205.1409,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,C2U,midas_g_118,midas_s_205
ESV206.1461,Bacteria,Fibrobacterota,Fibrobacteria,Fibrobacterales,Fibrobacteraceae,midas_g_206,midas_s_206
ESV207.1456,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,midas_g_207,midas_s_207
ESV208.1502,Bacteria,Verrucomicrobiota,Verrucomicrobiae,LD1-PB3,midas_f_131,midas_g_131,midas_s_208
ESV209.1450,Bacteria,Firmicutes,Dethiobacteria,Dethiobacterales,Dethiobacteraceae,midas_g_88,midas_s_88
ESV210.1451,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Chitinophagaceae,Ferruginibacter,midas_s_210
ESV211.1461,Bacteria,Nitrospirota,Nitrospiria,Nitrospirales,Nitrospiraceae,Nitrospira,midas_s_211
ESV212.1480,Bacteria,Firmicutes,Bacilli,Lactobacillales,Enterococcaceae,Enterococcus,Enterococcus_aquimarinus
ESV213.1476,Bacteria,Acidobacteriota,Thermoanaerobaculia,Thermoanaerobaculales,Thermoanaerobaculaceae,Subgroup_10,midas_s_213
ESV214.1407,Bacteria,Proteobacteria,Alphaproteobacteria,Rhizobiales,Rhizobiaceae,midas_g_153,midas_s_153
ESV215.1456,Bacteria,Proteobacteria,Gammaproteobacteria,Burkholderiales,Sutterellaceae,AAP99,midas_s_215
ESV216.1444,Bacteria,Armatimonadota,midas_c_216,midas_o_216,midas_f_216,midas_g_216,midas_s_216
ESV217.1437,Bacteria,Bacteroidota,Bacteroidia,Chitinophagales,Saprospiraceae,Haliscomenobacter,midas_s_217
ESV218.1455,Bacteria,Firmicutes,D8A-2,midas_o_13,midas_f_13,midas_g_13,midas_s_76
ESV219.1458,Bacteria,Proteobacteria,Gammaproteobacteria,Run-SP154,midas_f_27,midas_g_70,midas_s_219
